"Label","Total"
"TOTAL","2701.16"
"Catch","2.8552e-07"
"Equil catch","0"
"Survey","-32.8284"
"Length comp","449.805"
"Age comp","2260.95"
"Recruitment","22.8291"
"InitEQ Regime","0"
"Forecast Recruitment","0"
"Parm priors","0.396758"
"Parm softbounds","6.4104e-06"
"Parm devs","0"
"Crash Pen","0"
