"Year","Predicted OFL (mt)","ABC Catch (mt)","Age 3+ Biomass (mt)","Spawning Output","Fraction Unfished"
2021,12.9855,11.8557,295.766,21.3531,0.730305
2022,13.3728,12.2093,294.109,21.601,0.738781
