"Year","OFL","ABC","ACL","Catch"
2011,"fill in","fill in","fill in","9.05"
2012,"fill in","fill in","fill in","11.94"
2013,"fill in","fill in","fill in","9.73"
2014,"fill in","fill in","fill in","6.23"
2015,"fill in","fill in","fill in","6.12"
2016,"fill in","fill in","fill in","5.71"
2017,"fill in","fill in","fill in","12.06"
2018,"fill in","fill in","fill in","12.29"
2019,"fill in","fill in","fill in","13.11"
2020,"fill in","fill in","fill in","11.29"
